Client ID,Location ID,Joined Bank,Banking Employee ID,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,IAId
IND81288,34324,6/5/2019,BE01,75384.77,17677.95,1,484.54,776242.92,1485828.64,603617.88,607332.46,12249.96,1134475.3,1,2,1,1
IND65833,42205,10/12/2001,BE02,289834.31,17398.92,1,2256.88,1270615.43,641482.79,229521.37,344635.16,61162.31,2000526.1,1,3,2,2
IND47499,7314,25-01-2010,BE03,169935.23,42825.9,2,4568.74,1052715.84,1033401.59,652674.69,203054.35,79071.78,548137.58,1,3,3,3
IND72498,34594,28-03-2019,BE04,356808.11,5473.15,2,4205,121195.06,1048157.49,1048157.49,234685.02,57513.65,1148402.29,0,4,4,4
IND60181,41269,20-07-2012,BE05,130711.68,48077.6,1,3779.49,1048301.95,487782.53,446644.25,128351.45,30012.14,1674412.12,0,3,1,5
IND78532,13204,7/2/2019,BE06,118326.96,6028.2,2,5148.56,601902.5,1307269.41,745627.74,238310.37,15615.18,1556031.06,1,2,1,6
IND95683,42910,2/6/2002,BE06,57336.47,13929.16,1,959.9,208909.69,41200.18,60588.5,24639.33,3045.78,154111.62,1,1,1,7
IND40785,6127,3/11/2000,BE04,65125.8,31077.8,1,4576.58,1140704.8,156983.13,53889.73,46813.78,51979.19,1171456.68,0,2,2,8
IND13570,32656,7/4/2015,BE07,87849.47,9385.35,1,78.62,803444.46,1242347.22,328334.62,279528.12,27125.28,464560.28,0,1,2,9
IND53299,28340,20-11-1995,BE08,65369.36,27364.8,3,4836.86,60027.9,317246.67,111532.03,115869.39,48043.52,908583.94,2,1,3,10
IND76263,40459,18-10-2014,BE09,74966.51,16928.73,1,493.32,214327.82,37979.77,19335.16,52204.92,10539.79,353119.93,3,1,3,11
IND56452,25563,12/9/2005,BE10,111449.06,17480.19,2,392.59,580468.51,749007.94,204991.65,513425.24,22904.91,294397.85,0,2,3,12
IND28766,35687,17-03-2018,BE11,115637.19,10848.6,1,5055.31,815250.64,616330.93,208277.35,138738.22,6336.65,972455.46,3,1,3,13
IND17897,19554,2/1/1996,BE12,124434.78,26146,2,5211.37,984792.5,802862.97,263714.11,174051.32,68855.49,835554.83,0,2,3,14
IND86325,33368,5/6/2020,BE13,260795.34,11584.68,1,2866.34,310876.62,116399.86,69072.45,67077.02,48101.13,1136169.3,1,2,3,15
IND74197,27913,6/1/2021,BE14,78892.52,32369.71,1,4882.13,1510860.64,317542.21,134344.78,71284.16,20708.55,2283081.57,3,2,3,16
IND28503,9505,22-06-2014,BE15,257120.22,16263.99,1,8614.06,436988.44,2446251.57,1273391.23,253337.83,80698.26,1128082.14,1,3,4,17
IND56539,36232,19-01-2020,BE16,145704.55,3078.27,1,1895.06,384153.37,55118.87,25590.9,64095.37,10492.37,199617.82,3,1,4,18
IND53604,6299,31-03-2019,BE17,34404.16,19668.4,2,5384.7,1102836.16,204450.83,89694.56,35877.82,22452.06,1115542.44,3,1,3,19
IND32064,7694,9/3/2009,BE09,129060.88,17283.63,1,395.58,1000409.32,966281.34,472404.21,396819.54,37271.05,1631986.9,2,4,1,20
IND72934,38321,3/4/2020,BE02,129981.31,10242.84,2,2383.86,373846.69,38406.8,11024.17,25028.43,24422.1,441603.53,2,1,2,21
IND16101,12772,31-12-2015,BE09,123545.42,2984.52,1,2789.44,1400623.12,547459.74,324420.58,42985.73,31481.78,1255331.52,3,2,3,22
IND93121,28661,14-01-2013,BE15,308182.93,64332.66,1,4458.61,649331.84,103871.63,77431.58,133711.12,12045.07,176113.98,0,5,4,1
IND93310,8767,23-05-2021,BE18,122579.41,10312.54,1,4959.36,963017.56,1115098.09,368467.2,721419.98,11782.22,861771.26,1,2,1,2
IND71301,14954,19-09-2021,BE11,30942.07,4469.98,1,3338.64,276532.77,132960.52,108193.36,22381.69,23955.9,622223.7,0,1,1,3
IND21279,24058,20-03-2013,BE09,50651.56,8097.25,3,509.21,278071.37,302540.6,94771.75,153748.94,16732.39,430027.77,3,1,1,4
IND98618,8623,29-01-2014,BE19,502309.08,69381,2,10639.31,1469913.23,1724818.3,507299.5,1168238.27,75592.25,2143826.06,0,4,2,8
IND35589,38270,8/1/2018,BE20,87019.73,11316.5,2,1253.68,273944.56,192711.78,54150.42,73580.86,21530.91,772573.6,1,1,2,9
IND40198,29119,24-05-2005,BE21,246615.84,35332,3,5835.26,622181.88,765153.59,552072.84,308192.24,29778.58,1078308.29,0,3,3,10
IND49616,31338,22-08-2016,BE22,130023.36,15464.38,1,219.19,366887.14,447804.62,221138.08,271999.84,31010.83,787555.56,0,1,3,11
IND55475,21778,6/4/2013,BE23,82703.81,8635.67,2,8521.8,842201.38,2098819.5,990288.08,424345.83,32253.44,272858.21,3,4,3,12
IND61272,34773,10/12/2020,BE24,137256.09,18322.92,2,1050.56,1035297.66,976553.21,180073.64,471515.9,34284.83,469532.28,0,1,3,13
IND33884,29287,29-05-2021,BE25,224640.75,57090.72,3,3550.74,1091959.45,828226.52,532945.76,127330.83,61733.24,454281.87,1,3,3,14
IND53121,29278,15-02-2021,BE26,147292.91,24297.42,1,4097.62,105266.65,187826.4,35438.94,70287.24,7805.91,1112746.46,3,1,3,15
IND25680,99,25-09-2017,BE27,263248.97,47651.76,2,7069.16,693956.23,1420246.29,554930.67,235234.17,1624.19,2518271.85,3,3,3,1
IND55454,20746,28-11-2017,BE28,193690.93,11655.54,2,3610.42,50809.39,342138.31,255463.27,174627.4,4469.13,626121.9,2,2,4,2
IND96454,15809,5/3/2014,BE29,91243.05,37750.72,3,6660.85,122158.61,2137439.34,639548.78,1273038.67,12504.17,411062.27,2,3,4,3
IND14292,30376,13-12-2005,BE05,162807.39,70394.4,1,811.96,709300.71,1667444.17,517118.76,274495.08,2337.77,270162.94,2,4,3,4
IND67206,38915,13-01-2012,BE23,193729.94,44815.46,2,2062.15,66053.91,684295.05,337704.05,534461.09,47911.89,992911.86,2,3,1,5
IND90177,5659,8/11/2006,BE18,131497.09,15962.66,1,3127.86,57219.9,725666.6,233012.21,506302.25,21798.32,498564.84,0,1,2,6
IND60970,28045,23-12-2001,BE25,319205.91,49416,1,9.55,0,309361.94,360077.01,135307.81,17710.52,945483.98,3,4,3,7
IND24003,16845,28-02-2020,BE23,44088.51,32418.88,2,2795.52,1485747.33,396706.92,153723.93,55588.56,40504.26,717420.29,1,2,4,8
IND87800,20816,24-01-2008,BE22,420683.66,24472.55,1,1011.56,820479.9,1818216.16,683649.27,886562.2,14157.73,1549847.59,1,3,1,9
IND75987,30025,11/12/2006,BE10,32062.52,19653.48,1,1612.82,231528.63,140280.05,170536.53,109748.51,5492.47,352732.73,0,1,1,10
IND70083,12219,28-08-2016,BE28,92487.65,23690.51,1,2199.18,560657.25,208470.98,49811.65,134675.95,5026.45,407139.68,2,1,1,11
IND31444,33457,31-01-2020,BE18,130572.51,49441.92,1,3225.23,120782.42,370436.77,206472.95,264528.29,17000.19,854418.25,0,2,2,12
IND70450,31049,21-07-2021,BE16,54753.75,5311,1,1408.34,80386.11,11363.75,14158.11,4470.98,8745.72,390608.62,1,1,2,13
IND47520,3444,16-03-2020,BE20,180214.79,9226.35,2,587.71,791256.59,1988033,460993.16,783688.37,36763.45,1991318.1,2,2,3,14
IND69076,3711,12/11/1996,BE01,52826.78,26160.46,2,2617.61,385480.43,295345.61,277114.4,86634.71,20544.7,71268.33,2,1,3,15
IND53190,30998,2/1/2007,BE30,43622.88,19416.4,1,229.9,39047.14,192729.77,87604.44,223391.32,16286.6,237137.34,0,1,3,16
IND58356,3113,9/1/2018,BE31,142841.26,5405,1,3431.39,508939.36,527832.84,450589.01,171867.52,12316.33,542464.52,0,2,3,17
IND33691,30551,7/4/2009,BE06,90437.66,12737.4,3,2830.36,573366.17,202406.32,101203.16,80786.52,9723.87,704110,2,2,3,18
IND20398,16593,29-09-2008,BE32,32301.47,5597.4,1,1751.42,310657.96,74293.47,64447.35,14035.2,13795.28,579453.83,1,1,3,19
IND54314,24168,1/1/2007,BE33,293419.07,16443.25,1,4496.63,2183384.72,1490773.71,634781.07,281227.25,399.2,1633759.29,2,4,3,20
IND74305,25730,11/12/1999,BE34,55011.84,14206.2,1,3955.06,479936.38,1209655.58,474674.98,299657.72,43547.8,698612.48,3,1,4,21
IND37195,10528,16-04-2015,BE30,77971.46,7820.4,1,856.21,478157.92,61042.62,29222.53,25358.66,24984.35,487689.45,0,1,4,22
IND52609,30762,9/7/2005,BE29,84111.51,18940.38,1,156.67,304608.18,130415.95,61947.58,84900.78,3455.22,356683.94,3,1,1,1
IND26283,95,21-04-2006,BE21,98369.29,3050.25,1,1441.89,213195.07,376150.25,235795.68,198629.79,23821.78,312562.61,3,2,2,2
IND61913,10119,30-08-2012,BE35,243490.73,63872.76,1,5578.34,1045569.03,428657.45,214328.73,382765.89,32217.39,1105110.35,1,3,3,3
IND35876,28105,27-09-2006,BE17,72431.34,34975.16,1,5303.5,1210753.08,205810.18,127568.29,29765.93,25402.35,1532523.47,0,2,4,4
IND19011,33271,7/11/2003,BE12,456003.99,25171.2,2,7969.46,1248952.37,1050537.35,674555.56,237200.27,71113.77,1347657.84,2,4,1,8
